INFO 2024-11-25 13:07:21,709 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/utils/dateformat.py first seen with mtime 1732094319.8406303
DEBUG 2024-11-25 13:07:21,922 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/resources/_itertools.py first seen with mtime 1712665886.0
DEBUG 2024-11-25 13:07:21,922 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py first seen with mtime 1712665885.0
DEBUG 2024-11-25 13:07:21,922 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/datetime.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/urllib3/util/ssltransport.py first seen with mtime 1732179223.8159368
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/db/models/deletion.py first seen with mtime 1732094319.8068583
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/requests/compat.py first seen with mtime 1732179224.0704262
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/core/checks/security/base.py first seen with mtime 1732094319.7810225
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/core/files/move.py first seen with mtime 1732094319.7819657
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/db/models/manager.py first seen with mtime 1732094319.8080091
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/core/checks/async_checks.py first seen with mtime 1732094319.7793822
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/core/checks/translation.py first seen with mtime 1732094319.7803764
DEBUG 2024-11-25 13:07:21,922 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/mime/nonmultipart.py first seen with mtime 1712665885.0
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/myproject/myproject/__init__.py first seen with mtime 1732094493.9365287
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/db/backends/sqlite3/creation.py first seen with mtime 1732094319.8014412
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/db/backends/sqlite3/introspection.py first seen with mtime 1732094319.8018003
DEBUG 2024-11-25 13:07:21,922 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/math.cpython-312-darwin.so first seen with mtime 1712666336.0
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/core/files/storage/base.py first seen with mtime 1732094319.7828107
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1732094319.6963136
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/template/library.py first seen with mtime 1732094319.8325686
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/db/backends/sqlite3/client.py first seen with mtime 1732094319.8013039
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/utils/translation/trans_real.py first seen with mtime 1732094319.846353
DEBUG 2024-11-25 13:07:21,922 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/errors.py first seen with mtime 1712665885.0
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/urllib3/util/ssl_match_hostname.py first seen with mtime 1732179223.8157697
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/utils/lorem_ipsum.py first seen with mtime 1732094319.8438585
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/forms/formsets.py first seen with mtime 1732094319.8159504
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/contrib/sites/__init__.py first seen with mtime 1732094319.7359421
DEBUG 2024-11-25 13:07:21,922 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1732094319.448773
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/utils/translation/reloader.py first seen with mtime 1732094319.8458655
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/shortcuts.py first seen with mtime 1732094319.158668
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/contrib/postgres/forms/array.py first seen with mtime 1732094319.6288788
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/wsgiref/handlers.py first seen with mtime 1712665886.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/db/backends/base/validation.py first seen with mtime 1732094319.7946575
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/__future__.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/db/backends/sqlite3/_functions.py first seen with mtime 1732094319.800989
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/requests/structures.py first seen with mtime 1732179224.0720303
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py first seen with mtime 1712665886.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/db/models/options.py first seen with mtime 1732094319.808294
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/views/debug.py first seen with mtime 1732094319.8468554
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/core/servers/basehttp.py first seen with mtime 1732094319.791868
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/selectors.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/urllib3/util/util.py first seen with mtime 1732179223.816434
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/contentmanager.py first seen with mtime 1712665885.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/views/generic/dates.py first seen with mtime 1732094319.8489666
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/db/models/sql/datastructures.py first seen with mtime 1732094319.8136086
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/charset_normalizer/models.py first seen with mtime 1732179223.9786274
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/template/loaders/base.py first seen with mtime 1732094319.834818
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/core/checks/files.py first seen with mtime 1732094319.7797387
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/urllib3/util/proxy.py first seen with mtime 1732179223.814866
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/idna/__init__.py first seen with mtime 1732179223.9083724
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/sqlparse/filters/__init__.py first seen with mtime 1732094319.0896044
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/myproject/manage.py first seen with mtime 1732094493.9362488
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/array.cpython-312-darwin.so first seen with mtime 1712666335.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/contextlib.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/contrib/admin/actions.py first seen with mtime 1732094319.2434368
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/views/generic/list.py first seen with mtime 1732094319.8494177
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/fcntl.cpython-312-darwin.so first seen with mtime 1712666336.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/stringprep.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/_markupbase.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/mime/text.py first seen with mtime 1712665885.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/subprocess.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/sqlparse/engine/statement_splitter.py first seen with mtime 1732094319.08944
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/header.py first seen with mtime 1712665885.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_hashlib.cpython-312-darwin.so first seen with mtime 1712666326.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/handlers.py first seen with mtime 1712665886.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/zipfile/_path/__init__.py first seen with mtime 1712665887.0
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/sqlparse/utils.py first seen with mtime 1732094319.088835
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/dispatch/__init__.py first seen with mtime 1732094319.8146725
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/contrib/messages/api.py first seen with mtime 1732094319.6231267
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/utils/timezone.py first seen with mtime 1732094319.8451657
DEBUG 2024-11-25 13:07:21,923 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/urllib3/util/__init__.py first seen with mtime 1732179223.8145742
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/rest_framework/authentication.py first seen with mtime 1732094374.849506
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/sqlite3/__init__.py first seen with mtime 1712665886.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/http/request.py first seen with mtime 1732094319.8287146
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/utils/cache.py first seen with mtime 1732094319.8398237
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pprint.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/rest_framework/negotiation.py first seen with mtime 1732094374.8515224
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/contrib/auth/apps.py first seen with mtime 1732094319.403936
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/myproject/appointments/urls.py first seen with mtime 1732537262.2099319
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/core/checks/templates.py first seen with mtime 1732094319.7802577
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tempfile.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/dataclasses.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/rest_framework/request.py first seen with mtime 1732094374.8527558
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/db/models/base.py first seen with mtime 1732094319.8062785
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/locks.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ipaddress.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/core/files/locks.py first seen with mtime 1732094319.7818387
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/concurrent/__init__.py first seen with mtime 1712665885.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/conf/__init__.py first seen with mtime 1732094319.159402
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/db/backends/sqlite3/features.py first seen with mtime 1732094319.8016
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/core/management/base.py first seen with mtime 1732094319.7859564
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/sqlparse/exceptions.py first seen with mtime 1732094319.0878048
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/trsock.py first seen with mtime 1712665885.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/requests/status_codes.py first seen with mtime 1732179224.071887
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/rest_framework/utils/json.py first seen with mtime 1732094374.897993
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/subprocess.py first seen with mtime 1712665885.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/quopri.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/db/__init__.py first seen with mtime 1732094319.7920327
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/resources/_adapters.py first seen with mtime 1712665886.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/db/backends/signals.py first seen with mtime 1732094319.7927575
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/templatetags/tz.py first seen with mtime 1732094319.836046
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/contrib/admin/__init__.py first seen with mtime 1732094319.2432761
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/csv.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_socket.cpython-312-darwin.so first seen with mtime 1712666330.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/wsgiref/__init__.py first seen with mtime 1712665886.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1732094319.4517374
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/charset_normalizer/constant.py first seen with mtime 1732179223.9799728
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/.venv/lib/python3.12/site-packages/django/utils/datastructures.py first seen with mtime 1732094319.8404562
DEBUG 2024-11-25 13:07:21,924 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/fnmatch.py first seen with mtime 1712665884.0
DEBUG 2024-11-25 13:07:21,924 autoreload File /Users/energostroyceo/PycharmProjects/pythonMyDiplom/myproject/appointments/models.py first seen with mtime 1732540022.1688225
